,ProfileName,Text
813,c f hill cfh,"['trident', 'strawberry', 'twist', 'sugarless', 'disappointing', 'taste', 'consistency', 'strawberry', 'flavor', 'artificial', 'tasting', 'though', 'guess', 'good', 'thing', 'long', 'lasting', 'also', 'get', 'stringy', 'fairly', 'quicklybr', 'chew', 'buying', 'flavor', 'againbr', 'recommendedbr']"
1006,chris,"['like', 'animal', 'cracker', 'price', 'great', 'little', 'love']"
1092,john,"['first', 'uncle', 'ray', 'chip', 'year', 'traveling', 'west', 'tracked', 'amazon', 'recognized', 'name', 'good', 'remember', 'smoky', 'sweet', 'enough', 'kick', 'adequate', 'seasoning', 'chip', 'also', 'little', 'story', 'courtesy', 'uncle', 'usually', 'moral', 'message', 'anecdote', 'pretty', 'funny', 'intentionally', 'problem', 'chip', 'texture', 'theyre', 'thin', 'much', 'crunchy', 'texture', 'otherwise', 'good', 'chip', 'well', 'worth', 'trying']"
1180,jessica,"['used', 'lollipop', 'candy', 'princess', 'costume', 'daughter', 'came', 'perfect', 'condition', 'exactly', 'like', 'picture', 'show', 'come', 'group', '16such', 'great', 'value', 'extremely', 'satisfied']"
1311,o brown ms o khannahbrown,"['love', 'pasta', 'thick', 'chewy', 'absolutely', 'extraordinary', 'made', 'authentic', 'flavoring', 'boot', 'flavored', 'tomato', 'beet', 'powder', 'green', 'flavored', 'spinach', 'powder', 'basil', 'powder', 'black', 'pasta', 'flavored', 'squid', 'offwhite', 'naturale', 'yellow', 'pasta', 'flavored', 'turmeric', 'orange', 'carrot', 'powder', 'rainbow', 'beauty', 'natural', 'delectable', 'flavorbr', 'pasta', 'shaped', 'like', 'little', 'cresent', 'moon', 'rough', 'exterior', 'absorb', 'whatever', 'sauce', 'might', 'pasta', 'flavorful', 'enjoy', 'best', 'good', 'quality', 'olive', 'celtic', 'salt', 'sometimes', 'tarragon', 'fresh', 'rosemary', 'usually', 'savor', 'pasta', 'alone', 'also', 'excellent', 'olive', 'fresh', 'grated', 'parmesan', 'chees', 'topbr', 'sodium', 'also', 'hearthealthy', 'meal', 'protein', 'carbos', 'added', 'sugar', 'preservativesbr', 'perfect', 'easy', 'dish', 'impress', 'company', 'datebr', 'able', 'best', 'packaged', 'pasta', 'whole', 'wide', 'world', 'half', 'price', 'bulk', 'amazon', 'wonderful', 'privilege', 'disappointedbr']"
1380,rebecca of amazon the rebecca review,"['looking', 'sweetener', 'delicious', 'stevia', 'used', 'sweeten', 'cold', 'almost', 'goodbye', 'regular', 'sugar', 'drink', 'taste', 'stevia', 'powderbr', 'unlike', 'artificial', 'sweetener', 'stevia', 'never', 'bitter', 'wont', 'leave', 'nasty', 'aftertaste', 'mouth', 'packet', 'easy', 'carry', 'even', 'notice', 'le', 'craving', 'sugary', 'foodsbr', 'using', 'calorie', 'calorie', 'sweetener', 'gram', 'carbs', 'ahead', 'game', 'every', 'single', 'time', 'packet', 'stevia', 'using', 'le', 'sugar', 'wont', 'even', 'miss', 'itbr', 'rebecca', 'review']"
1389,karen,"['started', 'using', 'nustevia', 'several', 'year', 'back', 'purchase', 'health', 'food', 'store', 'thanks', 'amazon', 'order', 'within', 'day', 'never', 'product', 'best', 'tried', 'several', 'stevia', 'product', 'taste', 'nustevia', 'please', 'havent']"
1408,david,"['roland', 'lumpfish', 'caviar', 'excellentthe', 'price', 'good', 'affordableit', 'make', 'good', 'presentation', 'company', 'taste', 'good', 'purchased', 'many', 'item', 'amazon', 'even', 'large', 'ticket', 'item', 'satisfied', 'product', 'service']"
1572,lynrie oh hell no,"['doggie', 'really', 'like', 'newman', 'organic', 'better', 'food', 'bigbox', 'store', 'sell', 'budget', 'doesnt', 'like', 'newman', 'organic', 'much', 'harmony', 'farm', 'compromise', 'keep', 'doggie', 'budget', 'happy', 'eats', 'heartily', 'dont', 'worry', 'getting', 'enough', 'high', 'quality', 'food', 'otherwise', 'wont', 'food', 'hell', 'graze', 'trash', 'seeking', 'shell', 'bone', 'fill', 'voidbr', 'barfing', 'digestion', 'problem', 'accident', 'high', 'quality', 'food', 'mean', 'good', 'digestion', 'shiny', 'coat', 'high', 'energy', 'bright', 'eye', 'good', 'attitude', 'without', 'ton', 'additional', 'elixers', 'treat', 'bill', 'definite', 'cost', 'effective', 'winwin', 'doggie', 'mebr', 'great', 'result', 'newman', 'food', 'orderd', 'amazon', 'pound', 'le', 'pricebr', 'psst', 'organic', 'fanatic', 'nutritional', 'value', 'count', 'baby', 'human', 'kidsbr', 'update', '3262011', 'noticed', 'jumped', 'almost', 'thirty', 'buck', 'newman', 'organic', 'cost', 'pound', 'samemy', 'like', 'harmony', 'newman', 'budget', 'like', 'cost', 'effective', 'time', 'purchase', 'update', '5172012', 'last', 'batch', 'harmony', 'farm', 'ordered', 'rancid', 'smell', 'opened', 'pooch', 'wouldnt', 'readily', 'past', 'wouldnt', 'started', 'checking', 'trash', 'subsequently', 'purchased', 'canned', 'pouch', 'food', 'cooked', 'brown', 'rice', 'mixins', 'encourage', 'make', 'pricey', 'sure', 'stored', 'arrives', 'home', 'texas', 'heat', 'make', 'anything', 'stalerancidyucky', 'quickly', 'probably', 'called', 'customer', 'service', 'felt', 'replacement', 'would', 'issue', 'weather', 'definitely', 'exploring', 'weather', 'alternative']"
1854,mary,"['greatest', 'potato', 'snack', 'product', 'found', 'point', 'weight', 'watcher', 'really', 'crispy', 'tasty', 'flavor', 'great', 'complaintits', 'difficult', 'open', 'little', 'bag', 'need', 'pair', 'scissors', 'guess', 'keep', 'fresher', 'longer', 'great', 'trade', 'would', 'recommend', 'chip', 'everyone']"
2196,gary peterson,"['nearby', 'fresh', 'easy', 'neighborhood', 'market', 'stock', 'number', 'gourmet', 'imported', 'product', 'enjoy', 'trying', 'variety', 'baxters', 'soup', 'canada', 'today', 'butternut', 'squash', 'pepper', 'soup', 'quite', 'good', 'smooth', 'mellow', 'mild', 'taste', 'delicious', 'go', 'real', 'easy', 'come', 'calorie', 'serving', 'serving', 'ala', 'sodium', 'content', 'higher', 'like', 'otherwise', 'goodbr', 'gary', 'peterson']"
2210,amanda,"['bitter', 'nearly', 'thick', 'expected', 'runny', 'actually', 'better', 'brand']"
2605,john,"['good', 'product', 'little', 'mellow', 'pumpkin', 'flavor', 'little', 'sugar', 'brew', 'pick', 'enough', 'though', 'overall', 'good', 'coffee']"
2612,rebecca of amazon the rebecca review,"['love', 'green', 'impressed', 'green', 'powder', 'instruction', 'packet', 'ounce', 'cold', 'water', 'recommend', 'packet', 'packet', 'stevia', 'flavor', 'packet', 'fairly', 'mild', 'mild', 'fact', 'barely', 'taste', 'green', 'flavor', 'order', 'box', 'packet', 'packet', 'bottle', 'water', 'drink', 'cent', 'drink', 'free', 'shipping', 'ordered', 'book', 'think', 'fairly', 'reasonable', 'look', 'forward', 'trying', 'shake', 'fruit', 'juice', 'website', 'given', 'additional', 'recipe', 'interesting', 'recipe', 'like', 'one', 'white', 'chocolate', 'green', 'cream', 'green', 'papaya', 'nectar', 'green', 'sugar', 'cooky', 'probably', 'find', 'many', 'us', 'even', 'used', 'powder', 'make', 'lovely', 'packet', 'ounce', 'water', 'brewing', 'required', 'dissolve', 'easily', 'cold', 'water', 'highly', 'recommend', 'youbr', 'rebecca', 'review']"
2745,john,"['made', 'popcorn', 'choice', 'enjoy', 'flavor', 'kernal', 'size']"
2870,amanda,"['emailed', 'customer', 'service', 'asked', 'treat', 'filled', 'sweet', 'potato', 'assured', 'theyd', 'checked', 'manufacturer', 'confirmed', 'fact', 'sweet', 'potato', 'center', 'however', 'one', 'received', 'feel', 'like', 'lied', 'customer', 'service', 'didnt', 'want', 'take', 'time', 'actually', 'check']"
2989,o brown ms o khannahbrown,"['celestial', 'seasoning', 'sugar', 'plum', 'spice', 'delightful', 'holiday', 'contains', 'hibiscus', 'roasted', 'barley', 'malt', 'roasted', 'chicory', 'root', 'rosehip', 'chamomile', 'flower', 'natural', 'plum', 'flavor', 'natural', 'flavor', 'ginger', 'root', 'roasted', 'carob', 'cardamom', 'doe', 'contain', 'caffeine', 'technically', 'herbal', 'teabr', 'celestial', 'seasoning', 'around', 'long', 'time', 'make', 'quality', 'tea', 'tea', 'free', 'preservative', 'artificial', 'coloring', 'flavoring', 'certified', 'kosher', 'none', 'irradiated', 'botanical', 'appreciate', 'although', 'natural', 'flavor', 'tea', 'natural', 'flavor', 'derived', 'primarily', 'fruit', 'spice', 'herb', 'never', 'contain', 'monosodium', 'glutamate', 'environmentally', 'conscious', 'packaging', 'sustainable', 'sourcing', 'remove', 'caffeine', 'green', 'black', 'tea', 'process', 'called', 'effervescent', 'decaffeination', 'using', 'carbon', 'dioxide', 'celestial', 'seasoning', 'justifiably', 'take', 'pride', 'company', 'make', 'natural', 'teasbr', 'package', 'celestial', 'seasoning', 'writes', 'take', 'sugar', 'plum', 'spice', 'journey', 'land', 'sweet', 'tchaikovsky', 'nutcracker', 'youll', 'find', 'gingerbread', 'house', 'tree', 'laden', 'sugar', 'plum', 'day', 'filled', 'sunshine', 'land', 'sugar', 'plum', 'fairy', 'beautiful', 'gentle', 'kind', 'created', 'tribute', 'sugar', 'plum', 'spice', 'made', 'natural', 'herb', 'festive', 'flavor', 'plum', 'spice', 'hint', 'sweetness', 'slightly', 'sweet', 'full', 'bodied', 'tasting', 'would', 'expect', 'description', 'cardamom', 'ginger', 'give', 'little', 'zing', 'pack', 'flavor', 'need', 'timebr', 'recommend', 'even', 'holiday', 'perfect', 'cold', 'winter', 'daybr']"
3016,gary peterson,"['working', 'always', 'carry', 'lunch', 'much', 'better', 'food', 'court', 'much', 'better', 'regulation', 'nutrient', 'intake', 'finding', 'item', 'high', 'protein', 'without', 'high', 'difficult', 'task', 'tuna', 'excellent', 'little', 'chicken', 'white', 'tuna', 'cup', 'fill', 'bill', 'lunch', 'fresh', 'fruit', 'veggie', 'item', 'perhaps', 'dried', 'fruit', 'nut', 'good', 'nutrition', 'worry', 'weight', 'gain', 'also', 'camping', 'like', 'take', 'batch', 'tuna', 'cup', 'along', 'case', 'size', 'right', 'servingbr', 'minor', 'problem', 'latest', 'tuna', 'cup', 'might', 'batch', 'problem', 'latest', 'tuna', 'almost', 'choke', 'seemed', 'rather', 'tasteless', 'cup', 'past', 'seemed', 'much', 'better', 'satisfied', 'present', 'one', 'however', 'like', 'product', 'serving', 'size', 'deter', 'future', 'purchasesbr', 'gary', 'peterson']"
3142,chris,"['product', 'good', 'ever', 'used', 'convenient', 'amazon', 'become', 'hard', 'find', 'store']"
3193,mary,"['like', 'green', 'brew', 'minute', 'stew', 'leaving', 'bitter', 'course', 'done', 'refined', 'taste', 'like', 'personally', 'love', 'taste', 'good', 'green', 'glad', 'find', 'brand', 'available', 'online', 'sell', 'area']"
3278,steve,"['artificially', 'sweetened', 'cocoa', 'placed', 'kcup', 'delivery', 'device', 'waste', 'money', 'also', 'grove', 'square', 'product', 'notoriously', 'inferior']"
3306,c f hill cfh,"['grove', 'square', 'cocoa', 'flavor', 'best', 'tasting', 'found', 'keurig', 'took', 'chance', 'high', 'review', 'rating', 'pleasant', 'surprise', 'three', 'flavor', 'really', 'goodbr', 'dark', 'chocolate', 'favorite', 'good', 'even', 'large', 'settingbr', 'milk', 'chocolate', 'excellent', 'small', 'good', 'large', 'settingbr', 'peppermint', 'everyone', 'like', 'either', 'size', 'settingbr', 'contain', 'sucralose', 'addition', 'sugar', 'dont', 'notice', 'taste', 'wife', 'doe', 'still', 'like', 'thembr', 'highly', 'recommendedbr']"
3416,c f hill cfh,"['grove', 'square', 'cocoa', 'flavor', 'best', 'tasting', 'found', 'keurig', 'took', 'chance', 'high', 'review', 'rating', 'pleasant', 'surprise', 'three', 'flavor', 'really', 'goodbr', 'dark', 'chocolate', 'favorite', 'good', 'even', 'large', 'settingbr', 'milk', 'chocolate', 'excellent', 'small', 'good', 'large', 'settingbr', 'peppermint', 'everyone', 'like', 'either', 'size', 'settingbr', 'contain', 'sucralose', 'addition', 'sugar', 'dont', 'notice', 'taste', 'wife', 'doe', 'still', 'like', 'thembr', 'highly', 'recommended', 'tried', 'smaller', 'variety', 'pack', 'hrefhttpwwwamazoncomgpproductb005k4q64kgrove', 'square', 'cocoa', 'cup', 'variety', 'pack', 'kcups', 'keurig', 'brewer', '12count', 'pack', '3abr']"
3528,gary peterson,"['trip', 'health', 'area', 'local', 'food', 'market', 'stumbled', 'upon', 'enjoy', 'life', 'boom', 'choco', 'boom', 'dark', 'chocolate', 'cant', 'resist', 'trying', 'thing', 'cart', 'went', 'rather', 'good', 'say', 'dairy', 'free', 'take', 'word', 'question', 'taste', 'well', 'good', 'tasting', 'couple', 'others', 'would', 'regard', 'higher', 'quite', 'good', 'high', 'calorie', 'cholesterol', 'sodium', 'pick', 'againbr', 'gary', 'peterson']"
3587,c2,"['dating', 'remember', 'first', 'soft', 'batch', 'cooky', 'came', 'first', 'bigger', 'even', 'softer', 'time', 'soft', 'prepackaged', 'cookie', 'believe', 'besides', 'archway', 'came', 'least', 'dozen', 'variety', 'reason', 'stopped', 'making', 'remember', 'every', 'imaginable', 'going', 'nut', 'thing', 'wondering', 'stoppedbr', 'anyway', 'back', 'today', 'cooky', 'even', 'though', 'theyre', 'smaller', 'still', 'quite', 'excellent', 'soft', 'taste', 'better', 'keeblers', 'soft', 'chewy', 'cooky', 'package', 'made', 'minute', 'house', 'thats', 'happens', 'youre', 'raising', 'bunch', 'titan', 'boysbr', 'great', 'great', 'stuff', 'highly', 'recommend']"
3796,amanda,"['purchased', 'coffee', 'grandfather', 'lifelong', 'coffee', 'drinker', 'thoroughly', 'enjoyed', 'able', 'share', 'many', 'story', 'nice', 'gevalia', 'would', 'definitely', 'recommend', 'brand', 'especially', 'blend', 'anyone', 'love', 'good', 'brew', 'cheer']"
3826,gary peterson,"['always', 'liked', 'licorice', 'candy', 'best', 'licorice', 'ever', 'obtained', 'ikea', 'sweden', 'case', 'mentioned', 'around', 'panda', 'soft', 'licorice', 'appeared', 'christmas', 'stockingbr', 'panda', 'licorice', 'good', 'real', 'good', 'excellent', 'flavor', 'nice', 'chewy', 'good', 'aftertaste', 'rank', 'best', 'imported', 'finland', 'made', 'natural', 'ingredient', 'opinion', 'doesnt', 'quite', 'make', 'licorice', 'obtain', 'ikea', 'closebr', 'gary', 'peterson']"
3839,anonymous,"['best', 'ever', 'good', 'best', 'expensive', 'english', 'company', 'cant', 'remember', 'name', 'better', 'movie', 'kind', 'theyre', 'quite', 'moist', 'rich', 'best', 'one', 'tried']"
3926,c f hill cfh,"['hershey', 'sugar', 'free', 'caramel', 'filled', 'chocolate', 'good', 'diabetic', 'friendly', 'chocolate', 'candy', 'fairly', 'small', 'tastybr', 'sweetened', 'splenda', 'significantly', 'impact', 'blood', 'sugar', 'level', 'cause', 'gastric', 'distressbr', 'highly', 'recommendedbr']"
4331,mike,"['product', 'beyond', 'amazing', 'cooking', 'pancake', 'assorted', 'way', 'four', 'decade', 'home', 'product', 'come', 'close', 'bisquick', 'gluten', 'free', 'superior', 'every', 'glutenfree', 'product', 'matter', 'also', 'superior', 'every', 'glutenfree', 'market', 'friend', 'family', 'constantly', 'amazed', 'surprised', 'serve', 'breakfast', 'everyone', 'anyone', 'dont', 'make', 'mistake', 'associating', 'bisquick', 'product', 'glutenfree', 'product', 'result', 'food', 'taste', 'like', 'cardboardbr', 'last', 'thought', 'thanks', 'amazon', 'making', 'available', 'subscription', 'purchase', 'since', 'longer', 'find', 'south', 'florida', 'supermarket']"
4494,rebecca of amazon the rebecca review,"['minute', 'open', 'melitta', 'riviera', 'sunset', 'think', 'starbucks', 'rich', 'aroma', 'intoxicating', 'promise', 'thing', 'come', 'like', 'coffee', 'little', 'stronger', 'used', 'ground', 'coffee', '12ounces', 'water', 'brewing', 'coffee', 'entire', 'apartment', 'heavenly', 'scented', 'superior', 'fragrance', 'first', 'like', 'falling', 'love', 'literally', 'felt', 'heady', 'thing', 'added', 'little', 'half', 'half', 'packet', 'stevia', 'would', 'highly', 'recommend', 'coffee', 'dinner', 'dessert', 'truly', 'exceptional', 'coffee', 'beyond', 'impressed', 'eager', 'melittas', 'parisian', 'vanilla', 'ground', 'coffeebr', 'rebecca', 'review']"
4838,lynrie oh hell no,"['doogie', 'love', 'budget', 'howl', 'though', 'cant', 'find', 'steadily', 'local', 'store', 'catching', 'sale', 'question', 'great', 'digestion', 'problem', 'skin', 'eye', 'coat', 'much', 'improved', 'know', 'good', 'toobr', 'great', 'result', 'harmony', 'farm', 'food', 'orderd', 'amazon', 'pound', 'price']"
4928,gunner,"['buffalo', 'bill', 'premium', 'snacksbr', 'realize', 'taste', 'individual', 'thing', 'thought', 'share', 'thought', 'productsbr', 'first', 'customer', 'service', 'excellent', 'always', 'gotten', 'exactly', 'ordered', 'timely', 'mannerbr', 'ordered', 'following', 'productsbr', 'buffalo', 'bill', '21lbs', 'mild', 'short', 'shotsbr', 'buffalo', 'bill', '21lbs', 'short', 'shotsbr', 'first', 'short', 'shot', 'similar', 'slim', 'jims', 'individually', 'wrapped', 'lock', 'find', 'convenient', 'munch', 'quarter', 'pound', 'bagbr', 'buffalo', 'bill', '12lb', 'extra', 'smokeysbr', 'smokey', 'little', 'tastebr', 'buffalo', 'bill', '16oz', 'premium', 'hickory', 'beef', 'jerky', 'piece', 'random', 'sizebr', 'taste', 'great', 'jerky', 'loverbr', 'buffalo', 'bill', '21lb', 'pepperoni', 'short', 'shotsbr', 'probably', 'closest', 'slim', 'jims', 'short', 'shotsbr', 'buffalo', 'bill', '21lbs', 'honey', 'strungbr', 'taste', 'wife', 'hate', 'smell', 'brother', 'doesnt', 'care', 'much', 'eitherbr', 'highly', 'recommend', 'product', 'order', 'listed', 'companybr', 'gunner', 'january', '2010']"
4929,gunner,"['buffalo', 'bill', 'premium', 'snacksbr', 'realize', 'taste', 'individual', 'thing', 'thought', 'share', 'thought', 'productsbr', 'first', 'customer', 'service', 'excellent', 'always', 'gotten', 'exactly', 'ordered', 'timely', 'mannerbr', 'ordered', 'following', 'productsbr', 'buffalo', 'bill', '21lbs', 'mild', 'short', 'shotsbr', 'buffalo', 'bill', '21lbs', 'short', 'shotsbr', 'first', 'short', 'shot', 'similar', 'slim', 'jims', 'individually', 'wrapped', 'lock', 'find', 'convenient', 'munch', 'quarter', 'pound', 'bagbr', 'buffalo', 'bill', '12lb', 'extra', 'smokeysbr', 'smokey', 'little', 'tastebr', 'buffalo', 'bill', '16oz', 'premium', 'hickory', 'beef', 'jerky', 'piece', 'random', 'sizebr', 'taste', 'great', 'jerky', 'loverbr', 'buffalo', 'bill', '21lb', 'pepperoni', 'short', 'shotsbr', 'probably', 'closest', 'slim', 'jims', 'short', 'shotsbr', 'buffalo', 'smokiesbr', 'fatter', 'crisp', 'crunchy', 'short', 'shot', 'individually', 'wrappedbr', 'buffalo', 'bill', '21lbs', 'honey', 'strungbr', 'taste', 'wife', 'hate', 'smell', 'brother', 'doesnt', 'care', 'much', 'eitherbr', 'highly', 'recommend', 'product', 'order', 'listed', 'companybr', 'gunner', 'january', '2010']"
4993,c2,"['first', 'seafood', 'soup', 'stew', 'theyre', 'amazing', 'flavor', 'enhances', 'seafood', 'make', 'wonderful', 'plus', 'great', 'snack', 'kid', 'love', 'chili', 'soup', 'recipe', 'well', 'highly', 'recommend']"
5050,steve,"['rancid', 'upon', 'receipt', 'terrible', 'little', 'sugar', 'used', 'something', 'went', 'wrong', 'cant', 'believe', 'anyone', 'would', 'final', 'product']"
5260,jessica,"['le', 'week', 'kitty', 'grass', 'much', 'surprised', 'reaction', 'seemed', 'like', 'given', 'previous', 'home', 'rushed', 'right', 'soon', 'gnawed', 'nothing', 'first', 'time', 'eaten', 'plant', 'sprang', 'back', 'life', 'grew', 'faster', 'annihilated', 'second', 'time', 'grass', 'kind', 'dried', 'died', 'okay', 'plenty', 'seed', 'pack']"
5288,amanda,"['wonderful', 'love', 'granola', 'bar', 'celiac', 'wanted', 'something', 'different']"
5293,steve,"['cube', 'horse', 'came', 'time', 'horse', 'like', 'much', 'sugar', 'cube']"
5301,chris,"['really', 'like', 'husband', 'smelled', 'commented', 'smell', 'like', 'robitussin', 'cough', 'syrup', 'taste', 'subtle', 'aroma', 'overall', 'taste', 'good', 'good', 'value', 'best', 'tasting', 'cherry', 'vanilla', 'cherry', 'ever', 'tasted', 'would', 'purchase']"
5717,john,"['tigger', 'eats', 'stuff', 'fast', 'asks', 'figure', 'must', 'good', 'typical', 'food']"
5753,sarah,"['could', 'smell', 'vanilla', 'packaged', 'sealed', 'shut', 'extracted', 'packaging', 'plump', 'moist', 'specifically', 'product', 'based', 'comment', 'left', 'pastry', 'chef', 'extremely', 'happy', 'purchase', 'definitely', 'back', 'frosting', 'cake', 'batter', 'soooooo', 'good', 'word', 'cannot', 'describe', 'freshness', 'real', 'vanilla', 'bean', 'extract', 'easy', 'extract', 'bean']"
5826,chris,"['want', 'give', 'cat', 'much', 'variety', 'possible', 'family', 'matter', 'variety', 'make', 'happy', 'health', 'wellbeing', 'important', 'giving', 'good', 'healthy', 'food', 'treat', 'apart', 'showing', 'loved', 'unfortunately', 'online', 'find', 'treat', 'store', 'dont', 'carry', 'variety']"
6009,john,"['believe', 'supplement', 'product', 'thing', 'helped', 'anxiety', 'getting', 'really', 'panic', 'attack', 'doctor', 'said', 'anxiety', 'feel', 'overall', 'much', 'healthier', 'taking', 'product', 'havent', 'barely', 'anxiety', 'issue', 'definitely', 'recommend', 'anyone', 'trying', 'tame', 'high', 'stress', 'anxiety']"
6159,john,"['brother', 'robert', 'purchased', 'exact', 'product', 'size', 'local', 'indian', 'grocer', 'houston', 'austin', 'area', 'including', 'purchase', 'walmart', 'store', 'area', 'significant', 'indian', 'population', 'reported', 'wonderful', 'product', 'iced', 'faint', 'pleasant', 'flowery', 'aftertaste', 'purchase']"
6160,c f hill cfh,"['david', 'signature', 'beyond', 'gourmet', 'bacon', 'jelly', 'bean', 'indeed', 'taste', 'like', 'sweet', 'smokey', 'piece', 'bacon', 'flavor', 'going', 'snack', 'would', 'make', 'great', 'gift', 'many', 'bacon', 'fanatic', 'wife', 'commented', 'little', 'vinegar', 'flavor', 'added', 'would', 'taste', 'like', 'dutch', 'bacon', 'dressingbr', 'flavor', 'david', 'klein', 'creator', 'famous', 'jelly', 'belly', 'jelly', 'bean', 'thrilled', 'offered', 'hrefhttpwwwamazoncomgpproductb007jbo41edavids', 'signature', 'beyond', 'gourmet', 'jelly', 'bean', 'flavor', 'samplera', 'review', 'since', 'family', 'love', 'jelly', 'beansbr', 'also', 'really', 'like', 'jelly', 'bean', 'made', 'natural', 'flavor', 'colorsbr']"
6259,rebecca of amazon the rebecca review,"['valerian', 'chamomile', 'blended', 'spearmint', 'leaf', 'lemon', 'grass', 'hawthorn', 'berry', 'orange', 'blossom', 'create', 'delicious', 'savor', 'late', 'night', 'drift', 'dream', 'much', 'effective', 'regular', 'sleepytime', 'sleep', 'cycle', 'fairly', 'regular', 'much', 'fewer', 'night', 'tossing', 'turning', 'also', 'find', 'mood', 'next', 'rather', 'mild', 'feel', 'relaxed', 'general', 'could', 'getting', 'good', 'night', 'sleep', 'change', 'could', 'valerian', 'lasting', 'effect', 'valerian', 'effective', 'herb', 'cant', 'sleep', 'highly', 'recommended', 'insomnia', 'unlike', 'sleeping', 'pill', 'wont', 'feel', 'groggy', 'next', 'morning', 'blend', 'little', 'lavender', 'orange', 'blossom', 'honey', 'enhance', 'deliciously', 'mild', 'minty', 'teabr', 'rebecca', 'review']"
